Title,Date
"BEASTARS - O Lobo Bom: Temporada 1: Dar tudo de si","13/05/2022"
"BEASTARS - O Lobo Bom: Temporada 1: Nasce um lobo","13/05/2022"
"BEASTARS - O Lobo Bom: Temporada 1: Os melhores da escola","13/05/2022"
"BEASTARS - O Lobo Bom: Temporada 1: A lua e a fera","13/05/2022"
"Vikings: Temporada 2: Guerra entre irmãos","13/05/2022"
"Cowboy Bebop: Jamming with Edward","13/05/2022"
"Cowboy Bebop: Valsa para Vênus","13/05/2022"
"Archer: Temporada 12: Missão: difícil","12/05/2022"
"Archer: Temporada 12: Colt expresso","12/05/2022"
"Archer: Temporada 12: Dingo, namorada, etc.","12/05/2022"
"Archer: Temporada 12: Shots","12/05/2022"
"Archer: Temporada 12: Tudo pela imagem","12/05/2022"
"Archer: Temporada 12: Hora de Londres","12/05/2022"
"Archer: Temporada 12: Sequestrados","10/05/2022"
"Archer: Temporada 12: Crise de identidade","10/05/2022"
"Archer: Temporada 11: Mistério no frio","10/05/2022"
"Archer: Temporada 11: Sequestro","10/05/2022"
"Archer: Temporada 11: Encontro duplo","10/05/2022"
"Archer: Temporada 11: Melhores amigos","10/05/2022"
"Archer: Temporada 11: Fábrica de robôs","09/05/2022"
"Archer: Temporada 11: Ajuda","09/05/2022"
"Archer: Temporada 11: Torneio de artes marciais","09/05/2022"
"Archer: Temporada 11: Estátua de Orfeu","09/05/2022"
"Archer: Temporada 10: Robert De Niro","09/05/2022"
"Archer: Temporada 10: Cuberto","09/05/2022"
"Archer: Temporada 10: Piratas espaciais","09/05/2022"
"Archer: Temporada 10: Viagem","09/05/2022"
"Archer: Temporada 10: O Sr. Mortal chegou","07/05/2022"
"Archer: Temporada 10: Jantando com Zarglorp","07/05/2022"
"Archer: Temporada 10: Os restos","07/05/2022"
"Archer: Temporada 10: O aniversário do Bort","05/05/2022"
"Archer: Temporada 10: Bort, o Garj","27/04/2022"
"Archer: Temporada 9: Uma descoberta","27/04/2022"
"Archer: Temporada 9: Comparação da maldade entre povos civilizados e selvagens","26/04/2022"
"Archer: Temporada 9: Alguns comentários sobre canibalismo","26/04/2022"
"Archer: Temporada 9: Coisas estranhas na selva tabu","26/04/2022"
"Archer: Temporada 9: Um guerreiro disfarçado","26/04/2022"
"Archer: Temporada 9: Modos diferentes de preparar a fruta","26/04/2022"
"Archer: Temporada 9: Situação preocupante","26/04/2022"
"Archer: Temporada 9: Piloto estranho","25/04/2022"
"Archer: Temporada 8: Descobertas","25/04/2022"
"Archer: Temporada 8: Alabardas!","25/04/2022"
"Archer: Temporada 8: Lua convexa","25/04/2022"
"Archer: Temporada 8: Despertar","25/04/2022"
"Archer: Temporada 8: Dedo de moça","25/04/2022"
"Archer: Temporada 8: Fulana de Tal","25/04/2022"
"Archer: Temporada 8: Berenice","25/04/2022"
"Archer: Temporada 8: A vida não é justa","24/04/2022"
"Archer: Temporada 7: Por trás das câmeras - Parte 2","24/04/2022"
"Archer: Temporada 7: Por trás das câmeras - Parte 1","24/04/2022"
"Archer: Temporada 7: Almoço líquido","24/04/2022"
"Archer: Temporada 7: Indecência dupla","24/04/2022"
"Archer: Temporada 7: Baile de gala - Parte 2","23/04/2022"
"Archer: Temporada 7: Baile de gala - Parte 1","23/04/2022"
"Archer: Temporada 7: Órfão de mãe","22/04/2022"
"Archer: Temporada 7: Encontro mortal","22/04/2022"
"Archer: Temporada 7: A entrega","22/04/2022"
"Archer: Temporada 6: Sequência de reignição","22/04/2022"
"Archer: Temporada 7: Agência Figgis","22/04/2022"
"Archer: Temporada 6: Viagem drástica: parte II","22/04/2022"
"Archer: Temporada 6: Viagem drástica - Parte 1","22/04/2022"
"Archer: Temporada 6: Eles não gostam de vogais","22/04/2022"
"Archer: Temporada 6: Corretora exclusiva","22/04/2022"
"Archer: Temporada 6: Os Kane","22/04/2022"
"Archer: Temporada 6: Nellis","22/04/2022"
"Archer: Temporada 6: Babá","21/04/2022"
"Archer: Temporada 6: Enquanto isso, no elevador","21/04/2022"
"Archer: Temporada 6: O casamento da Edie","21/04/2022"
"Archer: Temporada 6: A sanção do Archer","21/04/2022"
"The House","19/04/2022"
"Archer: Temporada 6: Tango a três","19/04/2022"
"Archer: Temporada 6: A indecisão","19/04/2022"
"Archer: Temporada 5: Chegadas e partidas","19/04/2022"
"Archer: Temporada 5: Obstrução","19/04/2022"
"Archer: Temporada 5: Intriga no palácio - Parte 2","18/04/2022"
"Archer: Temporada 5: Intriga no palácio - Parte 1","18/04/2022"
"Archer: Temporada 5: Chá de bebê","18/04/2022"
"Archer: Temporada 5: No tapete","18/04/2022"
"Archer: Temporada 5: Regras de extração","18/04/2022"
"Archer: Temporada 5: Blues dos traficantes","18/04/2022"
"Archer: Temporada 5: Vamos para o sul","18/04/2022"
"Archer: Temporada 5: Visita","13/04/2022"
"Archer: Temporada 5: Dívida de honra","13/04/2022"
"Archer: Temporada 5: Um beijo morrendo","13/04/2022"
"Archer: Temporada 5: Aniversário explosivo","13/04/2022"
"Archer: Temporada 4: Tunt no mar - Parte 2","13/04/2022"
"Archer: Temporada 4: Tunt no mar - Parte 1","12/04/2022"
"Archer: Temporada 4: Vossa Santidade em perigo","12/04/2022"
"Archer: Temporada 4: Latido alto","12/04/2022"
"Archer: Temporada 4: Recém casados","12/04/2022"
"Archer: Temporada 4: Coyote, o adorável","12/04/2022"
"Archer: Temporada 4: Viva e deixe jantar","12/04/2022"
"Archer: Temporada 4: Uma vez mordido","12/04/2022"
"Archer: Temporada 4: Acoplamento viscoso","12/04/2022"
"Archer: Temporada 4: Ron da meia-noite","11/04/2022"
"Archer: Temporada 4: Pernas","11/04/2022"
"Archer: Temporada 4: Em plena selva","11/04/2022"
"Archer: Temporada 4: Preciso relaxar","11/04/2022"
"Archer: Temporada 3: Corrida espacial - Parte 2","11/04/2022"
"Archer: Temporada 3: Corrida espacial - Parte 1","11/04/2022"
"Archer: Temporada 3: Jogo de pele","11/04/2022"
"Archer: Temporada 3: Virando a casaca","11/04/2022"
"Archer: Temporada 3: Ferlin sangrenta","11/04/2022"
"Archer: Temporada 3: Escândalo","11/04/2022"
"Archer: Temporada 3: Curvas e derrapadas","11/04/2022"
"Archer: Temporada 3: Expresso para o Canadá","11/04/2022"
"Archer: Temporada 3: El contador","11/04/2022"
"Archer: Temporada 3: Burt Reynolds","11/04/2022"
"Archer: Temporada 3: Coração espião - Parte 3","11/04/2022"
"Archer: Temporada 3: Coração espião - Parte 2","11/04/2022"
"Archer: Temporada 3: Coração espião - Parte 1","11/04/2022"
"Archer: Temporada 2: Problema duplo","11/04/2022"
"Archer: Temporada 2: O sol da meia-noite","10/04/2022"
"Archer: Temporada 2: GP de Mônaco","10/04/2022"
"Archer: Temporada 2: O sequestro","10/04/2022"
"Archer: Temporada 2: Efeito placebo","10/04/2022"
"Archer: Temporada 2: Estágio dois","10/04/2022"
"Archer: Temporada 2: Estrela de cinema","10/04/2022"
"Archer: Temporada 2: Trauma de infância","10/04/2022"
